0.152053	3.141593	0.168540	3.180000	0.033358	
0.155195	3.141593	0.171735	3.210000	0.033765	
0.158336	3.141593	0.174960	3.240000	0.034232	
0.161478	3.141593	0.178215	3.270000	0.034758	
0.164619	3.141593	0.181500	3.300000	0.035345	
0.168389	3.330088	0.184815	3.330000	0.032850	
0.171531	3.392920	0.188160	3.360000	0.032929	
0.174673	3.330088	0.191535	3.390000	0.034324	
0.178442	3.330088	0.194940	3.420000	0.033894	
0.181584	3.392920	0.198375	3.450000	0.034153	
0.184726	3.330088	0.201840	3.480000	0.035728	
0.188496	3.330088	0.205335	3.510000	0.035478	
0.192265	3.581416	0.208860	3.540000	0.032775	
0.195407	3.581416	0.212415	3.570000	0.033902	
0.199177	3.518584	0.216000	3.600000	0.034460	
0.202947	3.581416	0.219615	3.630000	0.033822	
0.206088	3.581416	0.223260	3.660000	0.035129	
0.209858	3.518584	0.226935	3.690000	0.035867	
0.213628	3.581416	0.230640	3.720000	0.035409	
0.217398	3.769911	0.234375	3.750000	0.033754	
0.221168	3.769911	0.238140	3.780000	0.034045	
0.224938	3.769911	0.241935	3.810000	0.034395	
0.228708	3.769911	0.245760	3.840000	0.034805	
0.232478	3.769911	0.249615	3.870000	0.035275	
0.236876	3.958407	0.253500	3.900000	0.032664	
0.240646	4.021239	0.257415	3.930000	0.032626	
0.244416	3.958407	0.261360	3.960000	0.033904	
0.248814	3.958407	0.265335	3.990000	0.033358	
0.252584	4.021239	0.269340	4.020000	0.033500	
0.256982	4.146902	0.273375	4.050000	0.031816	
0.260752	4.021239	0.277440	4.080000	0.033963	
0.265150	4.146902	0.281535	4.110000	0.032400	
0.268920	4.021239	0.285660	4.140000	0.034667	
0.273319	4.146902	0.289815	4.170000	0.033224	
0.277717	4.209734	0.294000	4.200000	0.032469	
0.281487	4.209734	0.298215	4.230000	0.033659	
0.285885	4.146902	0.302460	4.260000	0.034281	
0.290283	4.209734	0.306735	4.290000	0.033706	
0.294681	4.398230	0.311040	4.320000	0.031935	
0.299080	4.398230	0.315375	4.350000	0.032108	
0.303478	4.398230	0.319740	4.380000	0.032342	
0.307876	4.398230	0.324135	4.410000	0.032636	
0.312274	4.398230	0.328560	4.440000	0.032989	
0.316673	4.398230	0.333015	4.470000	0.033403	
0.321071	4.398230	0.337500	4.500000	0.033876	
0.325469	4.398230	0.342015	4.530000	0.034410	
0.329867	4.398230	0.346560	4.560000	0.035003	
0.334894	4.586725	0.351135	4.590000	0.032515	
0.339292	4.649557	0.355740	4.620000	0.032600	
0.343690	4.586725	0.360375	4.650000	0.034002	
0.348088	4.398230	0.365040	4.680000	0.036721	
0.353115	4.586725	0.369735	4.710000	0.034473	
0.357513	4.649557	0.374460	4.740000	0.034798	
0.362540	4.775221	0.379215	4.770000	0.033298	
0.366938	4.649557	0.384000	4.800000	0.035628	
0.371965	4.775221	0.388815	4.830000	0.034249	
0.376991	4.838053	0.393660	4.860000	0.033557	
0.381389	4.838053	0.398535	4.890000	0.034811	
0.386416	4.775221	0.403440	4.920000	0.035496	
0.391442	4.838053	0.408375	4.950000	0.034985	
0.396469	5.026548	0.413340	4.980000	0.033277	
0.401496	5.026548	0.418335	5.010000	0.033513	
0.406522	5.026548	0.423360	5.040000	0.033810	
0.410920	4.838053	0.428415	5.070000	0.037309	
0.416575	4.963716	0.433500	5.100000	0.035212	
0.421602	5.089380	0.438615	5.130000	0.034433	
0.426628	5.215044	0.443760	5.160000	0.033713	
0.431655	5.026548	0.448935	5.190000	0.036195	
0.436681	5.026548	0.454140	5.220000	0.036852	
0.442336	5.215044	0.459375	5.250000	0.034427	
0.447363	5.277876	0.464640	5.280000	0.034576	
0.452389	5.215044	0.469935	5.310000	0.036041	
0.458044	5.215044	0.475260	5.340000	0.035681	
0.463071	5.277876	0.480615	5.370000	0.036010	
0.468726	5.403539	0.486000	5.400000	0.034513	
0.474380	5.466371	0.491415	5.430000	0.033705	
0.480035	5.654867	0.496860	5.460000	0.031701	
0.485062	5.466371	0.502335	5.490000	0.034782	
0.490717	5.403539	0.507840	5.520000	0.035411	
0.496372	5.466371	0.513375	5.550000	0.034843	
0.502026	5.654867	0.518940	5.580000	0.033078	
0.507681	5.654867	0.524535	5.610000	0.033259	
0.513336	5.654867	0.530160	5.640000	0.033499	
0.518991	5.654867	0.535815	5.670000	0.033799	
0.524646	5.654867	0.541500	5.700000	0.034159	
0.530301	5.654867	0.547215	5.730000	0.034580	
0.535956	5.654867	0.552960	5.760000	0.035060	
0.542239	5.843362	0.558735	5.790000	0.032459	
0.547894	5.906194	0.564540	5.820000	0.032431	
0.553549	5.843362	0.570375	5.850000	0.033719	
0.559832	5.843362	0.576240	5.880000	0.033183	
0.565487	5.906194	0.582135	5.910000	0.033335	
0.571142	5.843362	0.588060	5.940000	0.034803	
0.577425	5.843362	0.594015	5.970000	0.034447	
0.583708	6.094690	0.600000	6.000000	0.031637	
0.589363	6.094690	0.606015	6.030000	0.032658	
0.595646	6.031858	0.612060	6.060000	0.033110	
0.601929	6.094690	0.618135	6.090000	0.032365	
0.608212	6.283185	0.624240	6.120000	0.030423	
0.613867	6.094690	0.630375	6.150000	0.033569	
0.620150	6.031858	0.636540	6.180000	0.034261	
0.626434	6.094690	0.642735	6.210000	0.033756	
0.632717	6.283185	0.648960	6.240000	0.032055	
0.639628	6.471681	0.655215	6.270000	0.029157	
0.645911	6.534513	0.661500	6.300000	0.028832	
0.652195	6.471681	0.667815	6.330000	0.029824	
